positionType,positionNum,publishTime,positionline,positionname,workLocation
职能类,1,2019-03-13,position_detail.php?id=48484&keywords=&tid=0&lid=0,S2-International Finance Manager（EU）,荷兰
职能类,1,2019-03-13,position_detail.php?id=48485&keywords=&tid=0&lid=0,S2-IBG财务管理经理（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48486&keywords=&tid=0&lid=0,S2-高级测试工程师（深圳）,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48487&keywords=&tid=0&lid=0,PCG10-商业化产品运营经理-平台策略方向,深圳
技术类,2,2019-03-13,position_detail.php?id=48488&keywords=&tid=0&lid=0,27092-商业化iOS高级开发工程师（深圳）,深圳
设计类,1,2019-03-13,position_detail.php?id=48489&keywords=&tid=0&lid=0,29911-移动端交互设计师,深圳
技术类,1,2019-03-13,position_detail.php?id=48479&keywords=&tid=0&lid=0,CSIG17-LBS产品能力技术评价负责人,北京
技术类,1,2019-03-13,position_detail.php?id=48480&keywords=&tid=0&lid=0,25814-数据研发高级工程师,北京
技术类,2,2019-03-13,position_detail.php?id=48481&keywords=&tid=0&lid=0,18302-动作游戏引擎工程师（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48482&keywords=&tid=0&lid=0,18302-游戏程序化生成 TA,深圳
技术类,1,2019-03-13,position_detail.php?id=48483&keywords=&tid=0&lid=0,30361-WEB前端工程师,北京
技术类,3,2019-03-13,position_detail.php?id=48473&keywords=&tid=0&lid=0,TEG09-云存储高级研发工程师（深圳总部）,深圳
技术类,2,2019-03-13,position_detail.php?id=48474&keywords=&tid=0&lid=0,TEG09-云存储高级研发工程师（北京）,北京
技术类,1,2019-03-13,position_detail.php?id=48475&keywords=&tid=0&lid=0,21309-PC客户端开发工程师,深圳
设计类,1,2019-03-13,position_detail.php?id=48477&keywords=&tid=0&lid=0,20772-自制节目视觉管理（北京）,北京
技术类,1,2019-03-13,position_detail.php?id=48478&keywords=&tid=0&lid=0,CSIG17-车联网高级硬件测试架构师,北京
职能类,1,2019-03-13,position_detail.php?id=48467&keywords=&tid=0&lid=0,ZNB-高级专家助理,北京
技术类,1,2019-03-13,position_detail.php?id=48468&keywords=&tid=0&lid=0,22850-腾讯视频VIP后台开发工程师(深圳),深圳
产品/项目类,3,2019-03-13,position_detail.php?id=48469&keywords=&tid=0&lid=0,31967-企鹅电竞游戏直播运营经理（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48470&keywords=&tid=0&lid=0,31967-企鹅电竞Web应用开发工程师,深圳
产品/项目类,2,2019-03-13,position_detail.php?id=48471&keywords=&tid=0&lid=0,31967-企鹅电竞游戏直播运营经理（北京）,北京
技术类,3,2019-03-13,position_detail.php?id=48472&keywords=&tid=0&lid=0,TEG09-CDN高级后台开发工程师,深圳
技术类,1,2019-03-13,position_detail.php?id=48462&keywords=&tid=0&lid=0,17229-手游客户端开发工程师（深圳）,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48463&keywords=&tid=0&lid=0,PCG09-信息流垂类运营（体育）,北京
技术类,1,2019-03-13,position_detail.php?id=48464&keywords=&tid=0&lid=0,25926-高级游戏客户端安全工程师（深圳）,深圳
内容编辑类,1,2019-03-13,position_detail.php?id=48465&keywords=&tid=0&lid=0,TZ-网站编辑,深圳
设计类,1,2019-03-13,position_detail.php?id=48466&keywords=&tid=0&lid=0,27566-互动叙事类视觉导演（深圳）,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48456&keywords=&tid=0&lid=0,23295-互娱内容平台产品经理（深圳）,深圳
内容编辑类,1,2019-03-13,position_detail.php?id=48457&keywords=&tid=0&lid=0,TME-电台节目高级运营经理,深圳
产品/项目类,1,2019-03-13,position_detail.php?id=48458&keywords=&tid=0&lid=0,TME-MOO音乐产品策划（深圳）,深圳
技术类,1,2019-03-13,position_detail.php?id=48459&keywords=&tid=0&lid=0,25923-golang运营开发工程师,深圳
技术类,1,2019-03-13,position_detail.php?id=48460&keywords=&tid=0&lid=0,25923-王者荣耀技术运营工程师（深圳）,深圳
市场类,1,2019-03-13,position_detail.php?id=48461&keywords=&tid=0&lid=0,21528-版权商务（词曲）,北京
技术类,1,2019-03-13,position_detail.php?id=48451&keywords=&tid=0&lid=0,22090-天天快报-高级研发工程师（北京）,北京
技术类,1,2019-03-13,position_detail.php?id=48452&keywords=&tid=0&lid=0,PCG10-NLP/CV算法工程师,深圳
,1,2019-03-13,position_detail.php?id=48453&keywords=&tid=0&lid=0,21528-品牌传播经理（深圳总部）,深圳
,1,2019-03-13,position_detail.php?id=48454&keywords=&tid=0&lid=0,21528-品牌传播经理（北京）,北京
,1,2019-03-13,position_detail.php?id=48455&keywords=&tid=0&lid=0,21528-媒介传播经理（党媒央媒）,北京
技术类,1,2019-03-13,position_detail.php?id=48446&keywords=&tid=0&lid=0,25925-NLP高级工程师（深圳）,深圳
职能类,1,2019-03-13,position_detail.php?id=48447&keywords=&tid=0&lid=0,TME-腾讯音乐安全策略总监/专家,深圳
技术类,1,2019-03-13,position_detail.php?id=48448&keywords=&tid=0&lid=0,22989-自然语言处理平台高级工程师,深圳
